"Sample","YrBP","Abies","Cupressaceae","Larix","Picea","Pinus","Tsuga","Acer","Alnus","Betula","Carya","Corylus","Fagus","Fraxinus","Ostrya.Carpinus","Quercus","Tilia","Ulmus","Ambrosia","Artemisia","Asteraceae","Amarantaceae","Poaceae"
"Lorr85",8400,0.00260654357858271,0.00807581789738771,0.00393215134896742,0.0191483824215579,0.804473697771855,0,0.00183798209366391,0.00521308715716541,0.0505162492889238,0.00393215134896742,0,0.000256187161639598,0.00495689999552581,0.0133335770167399,0.0345761286936013,0.00183798209366391,0.0204293182297559,0.00470071283388621,0.00418833851060702,0,0.00970228479159876,0.00628250776591053
"Lorr86",8500,0.00269915653736002,0.00597711138313716,0.00433813396024859,0.0235989922072915,0.802835541040668,0,0.00227508489157144,0.0041260981373543,0.052057607522983,0.0041260981373543,0,0,0.00455016978314287,0.0119542227662743,0.0357079416361944,0.00206304906867715,0.0193582757494058,0.0041260981373543,0.00370202649156572,0.000212035822894289,0.00989117369759717,0.00640118302892573
"Lorr87",8600,0.00436505347125653,0.00539491210866121,0.00487998278995887,0.0313301374243919,0.789636334122895,0,0.00282500381023486,0.00410995795944803,0.0585597934795065,0.00410995795944803,0,0,0.00565000762046971,0.0107898242173224,0.0372447171468408,0.00205497897972402,0.0159296408141751,0.00410995795944803,0.00256990829842636,0.000770024830510839,0.00873484523759841,0.00693496176968289
"Lorr88",8700,0.00603095040515305,0.00481271283418527,0.00542183161966916,0.0390612826414923,0.776437127205123,0,0.00337492272889827,0.00409381778154177,0.0650619794360299,0.00409381778154177,0,0,0.00674984545779655,0.00962542566837053,0.0387814926574872,0.00204690889077088,0.0125010058789445,0.00409381778154177,0.00143779010528699,0.00132801383812739,0.00757851677759965,0.00746874051044004
"Lorr89",8800,0.00769684733904957,0.00423051355970932,0.00596368044937944,0.0467924278585927,0.76323792028735,0,0.00392484164756169,0.00407767760363551,0.0715641653925533,0.00407767760363551,0,0,0.00784968329512338,0.00846102711941864,0.0403182681681336,0.00203883880181775,0.00907237094371389,0.00407767760363551,0.000305671912147628,0.00188600284574394,0.00642218831760089,0.0080025192511972
"Lorr90",8900,0.00814663951120163,0.00407331975560081,0.00610997963340122,0.0488798370672098,0.759674134419552,0,0.00407331975560081,0.00407331975560081,0.0733197556008147,0.00407331975560081,0,0,0.00814663951120163,0.00814663951120163,0.0407331975560081,0.00203665987780041,0.00814663951120163,0.00407331975560081,0,0.00203665987780041,0.00610997963340122,0.00814663951120163
"Lorr91",9000,0.00814663951120163,0.00407331975560081,0.00610997963340122,0.0488798370672098,0.759674134419552,0,0.00407331975560081,0.00407331975560081,0.0733197556008147,0.00407331975560081,0,0,0.00814663951120163,0.00814663951120163,0.0407331975560081,0.00203665987780041,0.00814663951120163,0.00407331975560081,0,0.00203665987780041,0.00610997963340122,0.00814663951120163
"Lorr92",9100,0.00814663951120163,0.00407331975560081,0.00610997963340122,0.0488798370672098,0.759674134419552,0,0.00407331975560081,0.00407331975560081,0.0733197556008147,0.00407331975560081,0,0,0.00814663951120163,0.00814663951120163,0.0407331975560081,0.00203665987780041,0.00814663951120163,0.00407331975560081,0,0.00203665987780041,0.00610997963340122,0.00814663951120163
"Lorr93",9200,0.00740005492116524,0.00346594506357888,0.00730565916840202,0.0514228014371038,0.758992387316262,0,0.00440227465159386,0.00393410985758637,0.0577053632043449,0.00440227465159386,0.000468164794007491,0,0.00786821971517273,0.0102090436852102,0.046363570485976,0.00149889013478569,0.0153588564192926,0.00346594506357888,0.00140449438202247,0.00196705492879318,0.00496483519836457,0.00740005492116524
"Lorr94",9300,0.00660581599559462,0.00281980177419384,0.00857765867372202,0.054128082681672,0.758267124440422,0,0.00475222666860773,0.00378601422140078,0.0410943074634196,0.00475222666860773,0.000966212447206949,0,0.00757202844280157,0.0124030906788363,0.0523533289221121,0.000926794663493444,0.0230314275981128,0.00281980177419384,0.00289863734162085,0.00189300711070039,0.00374659643768728,0.00660581599559462
"Lorr95",9400,0.005811577070024,0.0021736584848088,0.00984965817904202,0.0568333639262401,0.757541861564581,0,0.00510217868562161,0.0036379185852152,0.0244832517224943,0.00510217868562161,0.00146426010040641,0,0.00727583717043041,0.0145971376724624,0.0583430873582481,0.000354699192201195,0.0307039987769329,0.0021736584848088,0.00439278030121922,0.0018189592926076,0.00252835767700999,0.005811577070024
"Lorr96",9500,0.00531914893617021,0.00177304964539007,0.0106382978723404,0.0585106382978723,0.75709219858156,0,0.00531914893617021,0.00354609929078014,0.0141843971631206,0.00531914893617021,0.00177304964539007,0,0.00709219858156028,0.0159574468085106,0.0620567375886525,0,0.0354609929078014,0.00177304964539007,0.00531914893617021,0.00177304964539007,0.00177304964539007,0.00531914893617021
"Lorr97",9600,0.00531914893617021,0.00177304964539007,0.0106382978723404,0.0585106382978723,0.75709219858156,0,0.00531914893617021,0.00354609929078014,0.0141843971631206,0.00531914893617021,0.00177304964539007,0,0.00709219858156028,0.0159574468085106,0.0620567375886525,0,0.0354609929078014,0.00177304964539007,0.00531914893617021,0.00177304964539007,0.00177304964539007,0.00531914893617021
"Lorr98",9700,0.00531914893617021,0.00177304964539007,0.0106382978723404,0.0585106382978723,0.75709219858156,0,0.00531914893617021,0.00354609929078014,0.0141843971631206,0.00531914893617021,0.00177304964539007,0,0.00709219858156028,0.0159574468085106,0.0620567375886525,0,0.0354609929078014,0.00177304964539007,0.00531914893617021,0.00177304964539007,0.00177304964539007,0.00531914893617021
"Lorr99",9800,0.00442298797409806,0.00491266117918028,0.0109089750608847,0.0555295314240405,0.763289730785931,0,0.00442298797409806,0.0029486586493987,0.0155767996375238,0.00442298797409806,0.00147432932469935,0,0.00658498366969359,0.0160196294058789,0.0591658564443354,0.000343833185448092,0.0325810851630199,0.00181816251014744,0.00751748664313089,0.00147432932469935,0.00216199569559554,0.00442298797409806
"Lorr100",9900,0.00297756706753006,0.00997655074980964,0.0113455511714399,0.0507212945307633,0.773285750470401,0,0.00297756706753006,0.00198504471168671,0.0178226100801097,0.00297756706753006,0.000992522355843355,0,0.00576689510216668,0.0161199239177632,0.0545031449212432,0.000898402839396628,0.0279360726714368,0.00189092519523998,0.0110631926220997,0.000992522355843355,0.00278932803463661,0.00297756706753006
